Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
Tumbleweeds;William S. Hart stars in this 1925 silent film as a cowboy intent on claiming land during the 1889 land rush in the Oklahoma Territory. Though hardened from years of taming the new frontier, he falls in love with a beautiful woman. Before he settles down, however, he must contend with men who wish to bring him harm. In the prologue of the 1939 Astor Pictures revival of this film, Hart gives a moving eight-minute introduction-- the first and only time he appeared in a film accompanied by his striking voice.;MOVIE;79;1925;['western', 'drama', 'romance', 'action'];6.5;614;2.292;6.1
The Stork Club;Director Hal Walker's 1945 musical comedy stars Betty Hutton as a hat-check girl at New York City's famous nightclub. The cast also includes Barry Fitzgerald, Don Defore, Andy Russell, Iria Adrian and Robert Benchley.;MOVIE;90;1945;['comedy', 'romance'];6.4;665;3.377;5.7
San Fernando Valley;A ranch owner fires his ranch hands and brings in women to replace them. The owner's daughter wants the male hands back and comes up with a plan to do it.;MOVIE;74;1944;['western'];6.6;96;0.6;
Trade Winds;After committing a murder, Kay assumes a new identity and boards a ship. But, Kay is unaware that Sam, a skirt chasing detective, is following her and must outwit him to escape imprisonment.;MOVIE;93;1938;['romance', 'drama'];6.3;585;1.626;6.7
Queen of the Amazons;Jean Preston is determined to find her fiancée, Greg Jones, who went on a safari and didn’t come back when expected. She travels to Akbar, India with Greg’s father, Colonel Jones, Wayne Monroe and the Professor. She asks about Jones at the front desk of the hotel where she stays.;MOVIE;61;1947;['action'];3.6;825;1.021;3.2
Reckless Decision;The teenage daughter of a puritanical Reverend promises him she will not marry until she is older, but after a night of heavy drinking she wakes up to find she has a husband.;MOVIE;67;1933;['drama'];4.4;66;0.6;
Who Killed Doc Robbin?;A group of people find themselves trapped in a creepy mansion, complete with secret passageways, a mad doctor and a murderous gorilla.;MOVIE;55;1948;['comedy', 'crime', 'family'];4.6;291;1.395;3.8
Bulldog Drummond Escapes;Drummond manages to save a woman from jumping in front of his car but she runs away with his car. He traces her and she asks him to help her out of a dangerous situation.;MOVIE;67;1937;['thriller', 'romance'];6;918;2.402;6
State Department: File 649;Kenneth Seeley, member of the U. S. State Department's Foreign Service Bureau, and Marge Weldon, a morale worker with the bureau, are assigned to an area in Mongolia dominated by an outlaw warlord. The latter captures the village where they reside and when escape is clearly impossible, Seeley blows up the outlaw's headquarters, losing his own life in doing so.;MOVIE;87;1949;['action', 'drama', 'romance', 'thriller', 'war'];4.7;178;1.716;5
Paradise in Harlem;It is the story of a comedian Lem Anderson who dreams of playing in Shakespeare scenes but he is applied only role in Harlem Vaudeville. One day he is the witness of a crime and the mobster strongly advised him to leave the town...;MOVIE;85;1939;['drama', 'comedy'];5;118;0.745;6.3
Danger Street;Magazine owners (Jane Withers, Robert Lowery) sell a revealing photo, then play detective when the deal leads to murder.;MOVIE;68;1947;['crime', 'comedy', 'drama'];5.5;87;0.954;
The House of Secrets;Two men stumble into an old mansion, and get involved with a crazed scientist, torture chambers and sinister medical experiments.;MOVIE;70;1936;['thriller'];5;392;1.664;5.6
Swamp Fire;Highlights in this one include a fist-fight between Johnny Weissmuller and Buster Crabbe (I won't give away the winner, but check the cast order), a cat-fight between Virginia Grey and Carol Thurston that the male cast of Sienfeld would pay to see and, just to keep things moving, Weissmuller wrestles an alligator, and there are two mid-water collisions between small-craft boats, a big ship wreck and a blazing swamp fire finale. Toss in a plot that has Weissmuller as a psycho-neurotic war veteran who, because he piled up his Navy destroyer on the rocks, now dreads returning to his pre-war occupation of a pilot guiding ships through the channels at the mouth of the Mississippi. Throw in icy Virginia Grey as a spoiled heiress out to take Johnny away from his job, his friends and the girl he loves (who knows why), and you have enough plot and action for two Pine-Thomas jewels.;MOVIE;69;1946;['drama', 'action'];5.5;248;1.819;5.1
The House Across the Bay;Nightclub owner Steve Larwitt (George Raft) sees his empire of investments collapse as he faces tax evasion charges and attacks by rivals. Believing Steve will be safer in prison for one year, his wife, Brenda (Joan Bennett), testifies against him on advice from his lawyer, Slant Kolma (Lloyd Nolan), who is in love with her. After Steve receives 10 years in Alcatraz, Brenda moves to be near him and avoids advances of airplane builder Tim Nolan (Walter Pidgeon), who knows nothing about her past.;MOVIE;88;1940;['drama', 'romance', 'crime'];6.5;558;2.338;5.4
Behind Green Lights;An unscrupulous private investigator with a penchant for blackmail is found dead in a car and the leading suspect is Janet Bradley, the daughter of a mayoral candidate. With the election just weeks away, shady and ruthless individuals muscle the medical officer into switching the corpse with another body. Lieutenant Sam Carson, one of the few good apples in the bunch must find a way to get to the bottom of it all.;MOVIE;64;1946;['crime', 'drama', 'romance'];6.4;897;4.123;5.7
Hidden Gold;Hoppy and Lucky have been called in to investigate a series of stage holdups. The robbers are taking gold from Colby's mine and Hoppy suspects it may be ex-outlaw Colby himself. When Speedy strikes gold, Hoppy borrows it and announces a gold shipment hoping to catch the gang and their leader.;MOVIE;60;1940;['western', 'comedy'];6.3;197;1.724;6
Straight Shooter;Before he was killed, Martin hid a half million dollars worth of bonds on his ranch. Brainard, who killed him, Inspector Carson posing as Sam Brown, and Martin's niece Margaret all want the ranch, and it's being sold at auction.;MOVIE;54;1939;['western'];5.8;76;1.4;5.8
Sons of New Mexico;Not quite as memorable as his previous Riders in the Sky, Gene Autry's Sons of New Mexico is still well up to the star's standard. This time, Gene tries to reform Randy Pryor, a would-be juvenile delinquent, played by Autry-protégé Dick Jones (who later starred in the Autry-produced TV series Range Rider and Buffalo Bill Jr). To this end, Pryor is enrolled at the New Mexico Military Institute, where much of this film was lensed. The kid chafes at the school's regimen and escapes, heading back to his criminal mentor Pat Feeney (Robert Armstrong).;MOVIE;71;1949;['western', 'music', 'action'];6.5;112;0.646;
Little Men;Jo March and her husband Professor Bhaer operate the Plumfield School for poor boys. When Dan, a tough street kid, comes to the school, he wins Jo's heart despite his hard edge, and she defends him when he is falsely accused. Dan's foster father, Major Burdle, is a swindler in cahoots with another crook called Willie the Fox. When the Plumfield School becomes in danger of foreclosure, the two con men cook up a scheme to save the home.;MOVIE;84;1940;['comedy', 'drama'];5.7;377;1.773;6.1
The Magnificent Rogue;A serviceman returns home at the end of WWII to discover his wife has become the head of her own very successful advertising agency. Comedy.;MOVIE;74;1946;['drama', 'comedy', 'romance'];5.7;62;0.6;
The Extra Girl;Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives in Hollywood, the mistake is discovered and she starts working in the props department of the studio instead. Her parents then come out to California and invest some money with a very shifty individual.;MOVIE;69;1923;['romance', 'crime', 'comedy'];6.6;1155;2.055;6.3
Her Favorite Patient;A beautiful female doctor visits her small hometown on her way back to Chicago. Her overworked uncle, who is the town's doctor, wants her to stay and help him, and he and a macho test pilot who's fallen for her come up with a plan that involves the pilot faking an illness and being treated by her, with her uncle's "help".;MOVIE;72;1945;['comedy'];6;209;1.097;5.8
Sunset Range;Grant hides stolen money in the luggage of Bonnie Shea who is moving west. Later when he and his men arrive to retrieve the money, they also kidnap Bonnie. This sends Reasonin' Bates and his cowhands on their horses after the gangsters in their cars.;MOVIE;60;1935;['comedy', 'drama', 'western', 'action', 'romance'];6.3;86;1.584;5
The Garden of Eden;Toni Le Brun, a beautiful Viennese singer, becomes the ward of the wardrobe mistress of a Monte Carlo nightclub. Her benefactor, however, is actually a baroness incognito. Toni falls in love with the handsome Richard, but as they prepare to marry, she comes to believe he is only after the wealth accompanying her new noble status. But truth, like true love, will not be kept secret long.;MOVIE;78;1928;['drama', 'comedy'];6.9;444;1.383;5.8
There's Always Tomorrow;Ignored by his ever-busy wife and children, a middle-aged businessman finds companionship with a former female employee.;MOVIE;86;1934;['drama', 'romance'];6.7;70;1.021;8
Dick Tracy vs. Cueball;A police detective uses his girlfriend to track down a homicidal maniac.;MOVIE;62;1946;['thriller', 'action', 'crime', 'family'];5.9;1249;1.988;5.1
Gambler's Choice;The professional gambler Ross Hadley is the owner of a posh gaming establishment in the heart of New York...;MOVIE;66;1944;['crime', 'drama', 'romance', 'action'];6;159;0.745;6
The White Gorilla;A white gorilla causes trouble in the deepest heart of Africa. The film uses footage from the silent 1927 serial Perils Of The Jungle which was written by director of The White Gorilla Harry L Fraser under the name Harry P.Crist;MOVIE;62;1945;['action'];2.8;505;1.47;4.8
Behind Office Doors;Mary Linden is the secretary who is the unheralded power behind successful executive James Duneen. He takes her for granted until rival Wales tries to take her away from him.;MOVIE;82;1931;['romance', 'drama'];6.1;478;1.413;5.2
365 Nights in Hollywood;Down-on-his-luck film director Jimmie Dale takes a job at a fly-by-night acting school. He is drawn into the plans of the school's owner to bilk a wealthy young man out of the funds he has supplied to shoot a movie starring pretty student Alice Perkins. But Jimmie hopes to bilk the bilkers by actually completing the movie as ostensibly planned.;MOVIE;77;1934;['comedy', 'music', 'romance'];5.7;141;3.41;
Murder with Pictures;Suspected crime boss Nate Girard beats a murder rap, and newspaper photog Kent Murdock is on the story. Girard and lawyer Redfield throw a party for the news men where Murdock romances a mystery woman who confronted Girard in front of him, but Murdock's fiancée Hester shows up. After they return to his apartment, have a fight, and she leaves, the mystery woman slips in and begs for his help. Police Inspector Bacon and the cops show up, looking for the mystery woman, Murdock hides her. Murdock goes with the cops to discuss the murder the woman is suspected of. Bacon explains (in flashback) how some photogs were setting up a shot with Girard and Redfield. When the flashbulbs popped, Redfield keeled over dead and the woman, Meg Archer, fled while the newsmen ran out to phone their papers. The newsmen (who were rounded up later as thoroly as possible) are taken into police custody, except for Murdock (who wasn't at the scene), who is given a cap on the sly by rival McGoogin. Altho ...;MOVIE;69;1936;['crime'];5.6;351;1.4;4.9
Little Men;The former Jo March and her husband Professor Bhaer operate the Plumfield School for homeless boys. One of the boys, Nat, invites Dan, a street kid, to come to the school, where the boys are all loved and well cared for. Dan is a young tough, but his heart is good, and when he is accused of theft at the school, Jo continues to believe in him and that the true thief will be found out.;MOVIE;72;1934;['romance', 'drama'];6.2;78;1.217;4
A Romance of Happy Valley;John Logan leaves his parents and sweetheart in bucolic Happy Valley to make his fortune in the city. Those he left behind become miserable and beleaguered in his absence, but after several years he returns, a wealthy man. But his embittered father, not recognizing him for who he is, plans to murder the newly- arrived "stranger" for his money.;MOVIE;76;1919;['drama', 'romance'];6.3;396;1.691;7
In Old Caliente;Americans come west to California in the hope of peaceful settlement. Roy and Gabby sing a duet: "We're Not Coming Out Tonight." Other songs include "Sundown on the Rangeland" and "Ride on Vaquero.";MOVIE;54;1939;['comedy', 'western', 'action', 'drama', 'music'];5.7;224;1.176;5
Dick Tracy's Dilemma;Dick Tracy investigates the theft of a fortune of fur coats, a possible insurance swindle and several murders, all linked to a huge thug who wears a hook in place of his right hand.;MOVIE;60;1947;['crime', 'family', 'action', 'drama'];5.9;990;1.686;5.4
Tomorrow at Seven;People in an old, dark mansion are menaced by a maniac called "The Black Ace.;MOVIE;62;1933;['crime', 'drama', 'romance', 'thriller', 'comedy'];5.6;295;2.806;6.6
August Week End;At a high-society dinner party, a wealthy, older and married man sets his sights on a beautiful young girl who's loved by a younger and not-so-wealthy man.;MOVIE;62;1936;['drama'];5.1;82;0.841;
Boys of the City;Street kids get sent to the country, where they get mixed up in murder and a haunted house.;MOVIE;68;1940;['thriller', 'comedy'];5.6;622;2.231;5.4
The Gunman From Bodie;The Rough Riders are after a gang of rustlers. Marshal Roberts is posing as a wanted outlaw, McCall is the Marshal supposedly after him, and Sandy is on hand as a cook. Roberts hopes his joining the gang will help bring them in.;MOVIE;62;1941;['western'];5.9;133;0.991;7
The Gunman From Bodie;The Rough Riders are after a gang of rustlers. Marshal Roberts is posing as a wanted outlaw, McCall is the Marshal supposedly after him, and Sandy is on hand as a cook. Roberts hopes his joining the gang will help bring them in.;MOVIE;62;1941;['western'];5.9;133;0.991;7
Dr. Christian Meets the Women;A conman arrives in town trying to sell his miracle methods of weight loss to the ladies. It's left to the good Dr. Christian to expose this fake and save a fragile young girl's life.;MOVIE;68;1940;['drama'];5.9;110;0.801;5
Colonel Effingham's Raid;The story takes place in 1940. On the eve of America's entry in World War II, a colonel retired to his small Southern town, and discovers that there is a plan afoot to tear down Confederate Monument Square. He begins a campaign to rally the townspeople to save the square.;MOVIE;72;1946;['romance', 'comedy'];6;392;1.168;5.6
Dangerous Passage;Joe Beck leaves Central America so that he can return to Texas and collect a large inheritance, but he picks a dangerous ship on which to travel.;MOVIE;60;1944;['drama'];5.4;307;0.84;4.9
The President's Mystery;The screenplay for this mystery is based upon a story suggested to Liberty Magazine by President Franklin D. Roosevelt. It is the tale of a prominent lawyer who shocks his snooty friends, family and colleagues by abruptly abandoning his successful practice and his wife to find true happiness. He soon falls in love with another woman and continues to keep a low profile until he learns that his first wife stands accused of murdering him;MOVIE;80;1936;['thriller', 'drama'];5.6;185;1.39;5.2
Brothers of the West;Tyler is a range detective whose brother stands accused of robbing a bank and murdering the bank president. To prove him innocent, Tyler must decipher his only clue, an unusual set of tire tracks.;MOVIE;58;1937;['western', 'action', 'romance', 'drama'];6;74;0.661;6
My Lady of Whims;Aspiring author Prudence "Prue" Severn leaves her staid home for the wild life in New York's artistic Greenwich Village community. Her concerned family hires two thrill-seeking ex-doughboys, bow-tied Bartley "Bart" Greer and his trigger-happy buddy Lee, to look after her and, hopefully, persuade her to come home. They move into Prue's apartment building, where she lives with a sculptress pal. Although interested in Bart, Prue senses he is being paid to watch over her-- so she decides to elope with the handsome Rolf.;MOVIE;59;1925;['drama', 'comedy'];5.7;144;2.362;5.8
Riddle Ranch;Rigging a horse race, Don Carlos wins a lot of money. When he loses his winnings at the gambling table, he shoots the dealer with Horton's gun. Horton is arrested but cannot prove his innocence.;MOVIE;63;1935;['western', 'romance'];4.3;24;0.6;
In Old Cheyenne;Roy is a newspaper reporter. He goes to Cheyenne to cover the activities of supposed bad guy Arapahoe Brown. Roy, of course, discovers who the real bad guy is.;MOVIE;58;1941;['western', 'action', 'music', 'romance'];6.2;127;2.089;3.5
West of the Law;The Rough Riders arrive to fight Rand, Ludlow and their gang. Buck poses as a preacher, Tim as a preacher, and Sandy as an undertaker. Buck not only wants the outlaws, but also their unknown boss.;MOVIE;60;1942;['western', 'drama', 'action'];7;58;0.665;
The Shadow Strikes;Lamont Cranston assumes his secret identity as "The Shadow", to break up an attempted robbery at an attorney's office. When the police search the scene, Cranston must assume the identity of the attorney. Before he can leave, a phone call summons the attorney to the home of Delthern, a wealthy client, who wants a new will drawn up. As Cranston meets with him, Delthern is suddenly shot, and Cranston is quickly caught up in a new mystery.;MOVIE;62;1937;['thriller', 'crime'];4.8;493;1.522;4.7
Lying Lips;A nightclub singer refuses to "date" customers, so she's framed for the murder of her aunt.;MOVIE;80;1939;['drama', 'music'];4.5;157;0.816;4.8
Three Men From Texas;Hoppy and new sidekick California Carlson head to California to help out Lucky Jenkins.;MOVIE;76;1940;['western'];6.8;214;2.172;6.3
Bowery Blitzkrieg;The East Side Kids discover that one of their own, Danny, is torn between staying and school and becoming a boxer, and is getting mixed up with gangsters.;MOVIE;62;1941;['crime', 'comedy', 'drama', 'romance', 'sport'];5.9;618;1.422;6
Merry-Go-Round;A nobleman, posing as a necktie salesman, falls in love with the daughter of a circus puppeteer, even though he is already married to the daughter of his country's war minister.;MOVIE;110;1923;['drama'];6.5;364;1.704;6
That Brennan Girl;Raised by Natalie Brennan, a flamboyant and irresponsible mother, Ziggy Brennan gets involved in hustling men at a young age. She hangs around with a wild crowd and learns gets her "street smarts" first from her mother, who wants everyone to think they are sisters, and then from Denny Reagan, an older man. He starts teaching her his tricks of the trade and she falls right in line with his crooked ways. Then one night she meets Martin J. 'Mart' Neilson, a tall, handsome, honest farmer boy who's a sailor and they fall in love. While he's away fighting the war, she discovers she's pregnant.;MOVIE;95;1946;['drama', 'romance'];6.5;306;0.864;5.3
The Mystery of Mr. Wong;Detective James Lee Wong must find the "Eye of the Daughter of the Moon," a priceless but cursed sapphire stolen in China and smuggled to America. His search takes him into the heart of Chinatown and to the dreaded "House of Hate" to find the deadly gem before it can kill again.;MOVIE;68;1939;['thriller'];6.1;841;1.946;6.1
Smart Alecks;Danny helps to capture a wanted criminal and receives a $200 reward. However, he has a falling out with the gang when they believe he should share the money with them. Complications ensue when the crook that Danny helped capture escapes from jail and comes looking for him.;MOVIE;67;1942;['comedy', 'crime', 'drama', 'romance'];5.6;508;1.499;6
The Sphinx;A man known to be a mute is suspected of committing a murder, as he was noticed at the scene. However, witnesses saw and heard him talking as he was leaving the scene of the crime. The police must determine if he is the actual killer or if he is being framed.;MOVIE;64;1933;['thriller', 'drama', 'crime'];5.6;448;2.268;4.4
Gunsmoke Ranch;A crooked real estate manipulator sells worthless land on mortgage to flood refugees, then tries to profit by reselling the land to the state, committing murder in the process, as the Three Mesquiteers work to bring him and his gang to justice.;MOVIE;56;1937;['western', 'action', 'drama'];5.5;142;1.483;3.6
The Girl Who Came Back;A counterfeiter gives up her life of crime and goes straight. She gets a job in a bank, but the members of her former gang hear about it and try to blackmail her into helping them rob the bank.;MOVIE;65;1935;['crime', 'drama', 'romance'];5.7;60;1.211;
The Blazing Sun;Gene Autry hunts bank robbers Al Bartlett and Trot Lucas with his old friend Mike. Bartlett, to throw off his pursuers, kills Trot and his own brother. When Kitty Bartlett comes to town claiming to be the slain Bartlett's widow, Gene has to save her from the irate townspeople who are not aware that her name isn't Bartlett but she really is the daughter of a law officer slain by Al Bartlett. Ben Luder, a local hood, tricks Bartlett back into town by saying he has to fixed to have Doc Larry Taylor do plastic surgery on him. En route they meet Doc and his assistant Helen Ellis and Ben's ruse is exposed. Bartlett kills Ben and forces Doc to drive him to the railroad. Gene, in a fight atop a runaway train, captures Bartlett.;MOVIE;69;1950;['western', 'music', 'action'];6.1;103;0.84;
International Crime;The second and final Grand National Pictures film to feature The Shadow, played again by Rod La Rocque. In this version, Lamont Cranston is an amateur detective and host of a radio show with his assistant Phoebe (not Margo) Lane. Cabbie Moe Shrevnitz and Commissioner Weston also appear.;MOVIE;62;1938;['crime'];5.5;453;2.069;5.4
The Green Promise;A stubborn farmer is raising his children alone. When his oldest daughter gets a suitor, the father nearly goes on the rampage, but he is forced to change his tune when he is injured, leaving her in charge of the farm.;MOVIE;93;1949;['drama'];6.4;552;2.367;6.1
La Cucaracha;Señor Martinez, a famous theater owner, visits a local café in Mexico because of its reputation for good food and to audition the famous dancer who performs there. Martinez tells the café owner that if the dancer is as good as he has heard, he will offer the dancer a contract to perform in his theater. The café's female singer hears about this and is determined that he won't leave the café without her.;MOVIE;20;1934;['comedy'];;;1.059;5.1
The Ranger and the Lady;While Sam Houston in in the nation's capital trying to get Texas into the Union, his aide is trying to impose a self-serving tax on the use of the Santa Fe trail. The lady owner of a wagon train is using the trail, and a Texas Ranger comes to her assistance.;MOVIE;52;1940;['western', 'music'];6.4;108;1.441;
From the Manger to the Cross;The life of Jesus is played out in tableaux shot in the Holy Land.;MOVIE;71;1912;['drama'];5.8;588;1.235;5.3
The Last of the Clintons;Cowboy infiltrates an outlaw gang to expose their rackets, but after he's ordered to kidnap a young girl, the gang finds out who he really is.;MOVIE;59;1935;['western', 'action', 'romance'];5.8;91;1.576;5
Let's Get Tough;Rejected by the Army, Marines, and Navy for being too young, the punks help the war effort by throwing fruit at a shop they believe is owned by a Japanese American. Confronted by him wielding a short sword, the gang decides to come back at night but find him dead.;MOVIE;62;1942;['comedy', 'romance', 'action'];5.2;525;1.579;6.5
South of Santa Fe;To get the three needed business men to visit the Stevens mine, Roy stages a ride with the Vacaros and has them as honored guests. Seeing a chance to make a lot of money, gangster Harmon joins the ride and then has his men kidnap the three. Having filmed a fake holdup earlier, he uses the film to convince the Sheriff that Roy and the boys were the Kidnapers.;MOVIE;53;1942;['western', 'music', 'action'];6.3;110;1.915;5.3
In Old Colorado;Joe Weller has instigated a conflict over water rights between two ranchers. The idea is to have the ranchers do each other in then move in and take over. Hoppy and the good guys won't let this happen.;MOVIE;66;1941;['western', 'action'];6.5;185;1.248;6
Flirting with Danger;Three brash and cocky powder mixers are sent to South America to work at a dynamite plant there.;MOVIE;62;1934;['comedy'];5.2;34;0.628;
Texas Jack;Jack is looking for the man that was responsible for the death of his sister after he hired her as a school teacher. When he runs into school teacher Ann who was just hired by Corey, he soon realizes Corey is the man he is after. Lacking proof, he works on Corey's nerves hoping to get a confession from him.;MOVIE;55;1935;['western'];5.4;22;0.6;
The Married Virgin;In order to save her wealthy father from disgrace and a possible prison sentence, a daughter agrees to marry the gigolo who's been blackmailing him...;MOVIE;71;1918;['drama', 'romance'];5.4;662;0.837;5.6
Klondike Fury;In this Alaskan adventure, a surgeon becomes a pilot after he messes up an operation. Unfortunately, he crashes during a storm and finds himself cared for by a lovely woman. He gets a chance to reclaim his self-esteem when her son suddenly needs the same operation the surgeon botched.;MOVIE;68;1942;['drama', 'action', 'romance'];4.1;83;1.4;3.7
Lucky Terror;A sharpshooter in a traveling sideshow is falsely accused of murdering a local miner.;MOVIE;61;1936;['western', 'comedy', 'action'];6;71;0.84;5
Girls in Chains;A fired teacher (Arline Judge) finds work at a girls reform school and helps a detective (Roger Clark) on a case.;MOVIE;75;1943;['crime', 'drama'];4.6;233;1.331;4.3
Wolf Call;A spoiled New York playboy learns the values of life when he's sent by his father to work in a rural mining community in Canada.;MOVIE;62;1939;['romance', 'action', 'drama'];6;49;1.491;3
When the Lights Go On Again;The hometown life of a young soldier suffering from shellshock amnesia is revealed in flashback.;MOVIE;74;1944;['romance', 'war', 'drama'];5.7;33;1.132;5
Dixiana;A circus performer falls in love with the son of a plantation owner in antebellum New Orleans. When the young man's stepmother objects to the wedding, the couple has to decide if they can make their relationship work.;MOVIE;100;1930;['comedy', 'music', 'romance', 'drama'];5.2;372;1.212;5.1
The Love Light;Angela maintains a coastal lighthouse in Italy, where she awaits the return of her brothers from the war. She learns they are casualties and takes solace in the arms of an American sailor washed ashore. However, the sailor turns out to be a German spy, and she is torn between her love for him and her realization that he is part of the enemy force that has destroyed her family.;MOVIE;89;1921;['drama'];6.4;377;0.951;7.3
Young Dynamite;A young, newly-appointed rookie state trooper, John Shields, is celebrating with his sister Jane, his younger brother Freddie and Tom Marlin, Jane's fiancé and also a trooper, when they hear over the radio that two bandits have just killed a lawyer and his watchman. John and Tom set out in their patrol cars in hopes of capturing the killers, followed by Freddie who hopes some day to qualify as a trooper. Freddie encounters the two two bandits, Spike Doland and Butch and manages to get away with the bag of gold they had stolen. While chasing Freddie they are recognized by John who they kill when he tries to arrest them. Freddie then takes matters into his own hands in seeking to capture the killers of his brother.;MOVIE;57;1937;['crime', 'drama'];4.9;49;0.674;1
Madame Behave;A cross-dressing farce, adapted from "Madame Lucy" by Jean Arlette, in which to help a friend in a lawsuit, Jack Mitchell disguises himself as the mysterious "Madame Brown," a missing witness important to the case of the plaintiff. He attracts the romantic attention of two old roués and one hot Broadway showgirl.;MOVIE;55;1925;['comedy', 'romance'];6.8;28;0.6;5
Desperate Cargo;When two showgirls decide to leave South America and head for home, they sweet talk the purser of a clipper ship into giving them berths. In the course of the voyage, a band of thieves attempts to take over the ship and make off with its cash cargo. The heroic purser has other ideas and weighs in to save the day.;MOVIE;67;1941;['crime', 'romance', 'drama'];5.3;128;1.4;1
Diary of a Sergeant;Harold Russell, an American soldier who lost his hands in a training accident, tells the story of his medical rehabilitation at Walter Reed Army Medical Center in Washington DC, how he and his fellow amputees at the hospital at first despaired and then found new hope in the prostheses and training available to amputees through the Army's medical corps. Russell learns to wear and to operate the hooks which replace his hands and becomes competent to perform many tasks he had once thought no longer possible. Discharged from the Army, he is welcomed into Boston College by college president William J. Murphy, S.J.;MOVIE;22;1945;['documentation'];;;1.13;6
Sunset Serenade;Bad guys plot to trick a newly arrived Eastern girl out of a ranch which belongs to her infant ward. Roy, of course, saves the ranch for the girl. Songs include "I'm Headin's for the Home Corral," "He's a No Good Son of a Gun," "Sandman Lullaby," "Song of the San Joaquin," and "I'm a Cowboy Rockefeller.";MOVIE;60;1942;['western', 'music', 'action'];6.3;106;1.187;5.7
Paradise Canyon;John Wyatt is a government agent sent to smash a counterfeiting operation near the Mexican border. Joining Doc Carter's medicine show they arrive in the town where Curly Joe, who once framed Carter, resides.;MOVIE;52;1935;['western', 'action', 'music', 'crime'];5.1;909;2.64;4.8
My Dog Shep;An orphan boy on his way to live with his uncle picks up a stray dog, and the two become fast friends. However, the uncle doesn't want the dog, and when chickens are found dead, the uncle accuses the dog of killing them. The boy decides that it's time he and the dog hit the road so they run away, and meet up with an elderly man who also ran away from a home where he believed he wasn't wanted either.;MOVIE;62;1946;['drama'];5.8;75;1.671;6
Beau Revel;"Beau" Revel, "An Ince-Vance Special Paramount Picture," was introduced with the subtitle, "This is the story of a man who played at love, forgetting in his vain selfishness, the rules of Duty, even Decency—conceitedly 'wasting his manhood in a game unworthy of man.'" That is a precise definition of Lewis Stone as the title character, first shown having his nails trimmed, his shoes shined, and receiving a shave. His latest fancy is Alice (Kathleen Kirkham), a woman whose husband's drunkenness has given Beau an opening.;MOVIE;69;1921;['drama'];4.9;50;1.204;3
In the Money;When the chemical company owned by eccentric Professor Higginbottom files for bankruptcy, the formerly-affluent family loses its income. Levelheaded oldest daughter Lambie struggles to make ends meet but has trouble persuading her carefree, profligate siblings to cut down on their spending. Youngest brother Dick enters a motorcycle race to win $500, but crashes his bike on the speedway and is paralyzed. Shocked into reality by the tragedy, Lambie's younger sister Babs persuades ex-prizefighter Gunboat Bimms to enter the ring one last time in hopes of winning a purse that will pay for Dick's surgery.;MOVIE;66;1933;['comedy', 'drama'];5.2;33;1.094;
The Underdog;During WWII, a strong-willed 12-year-old boy tries to steer his vocationally and maritally confused father straight, at the same time striving to keep his honor while the gang in his new neighborhood bully him.;MOVIE;65;1943;['drama', 'romance', 'war'];5.9;43;0.6;
Rainbow Valley;John Martin is a government agent working under cover. Leading citizen Morgan calls in gunman Galt who blows Martin's cover.;MOVIE;52;1935;['western', 'action', 'romance'];5.3;655;3.407;4.6
Paradise Island;The south sea island Tonga is full of plantations and scoundrels. Ellen Bradford arrives expecting marriage to respectable and successful plantation owner only to find he is a drunk and gambler. Being the only white woman she is the desire of scoundrels and cut-throats.;MOVIE;68;1930;['romance', 'action', 'music'];5;116;1.732;3.3
Danny Boy;A U. S. Marines dog is returned to his young owner in the small town of Monrovia at the end of WWII, but a grouchy neighbor believes the animal's military training makes him a threat to the community and files charges to have the dog destroyed.;MOVIE;64;1945;['action', 'family', 'drama', 'war'];6.4;65;0.627;
Crimson Romance;After Fred von Bergen, a German immigrant in America, is forced from his job by anti-German hysteria before the first world war, he and his friend Bob Wilson leave America and join the German air force. There, both men fall in love with ambulance driver Alida Hoffman. When America enters the war, Bob is caught between loyalty to his home country and the threat of execution for desertion and treason to Germany. It remains for his friend Fred to extricate him from the dilemma - but at what cost?;MOVIE;71;1934;['drama', 'action', 'war'];5.6;174;1.71;
Little Tough Guy;The son of a man sentenced to death for a murder he didn't commit vows to become a criminal himself. He starts his own street gang, and their crime spree is financed by a mysterious young man--who turns out to be the son of the District Attorney who sent the boy's father to the electric chair.;MOVIE;86;1938;['crime', 'drama'];6.1;187;2.593;6.2
Kept Husbands;A former All-American football star, now working as a steel mill supervisor in New Jersey, falls in love with the mill owner's wealthy, very spoiled daughter.;MOVIE;76;1931;['drama', 'romance'];5.9;546;3.052;5.7
Beware Of Ladies;An unhappily married newspaper reporter discovers she's being used as a pawn in a scheme to discredit the political candidate she's been assigned to write about.;MOVIE;64;1936;['drama', 'romance', 'action', 'crime'];5.5;89;0.92;5
