Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
The Stranger;A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.;MOVIE;95;1946;['thriller', 'crime', 'drama'];7.3;26293;7.566;7.3
The Phantom of the Opera;A grotesquely disfigured composer known as "The Phantom" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.;MOVIE;101;1925;['horror'];7.5;18190;7.428;7.2
Tell Your Children;High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.;MOVIE;66;1938;['drama', 'crime'];3.7;8617;5.412;4.1
The Most Dangerous Game;When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.;MOVIE;63;1932;['thriller', 'horror', 'action'];7.1;12203;8.828;7
Wuthering Heights;The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor.;MOVIE;104;1939;['drama', 'romance'];7.5;17956;12.336;7.3
The Woman in the Window;A seductive woman gets an innocent professor mixed up in murder.;MOVIE;99;1944;['drama', 'thriller', 'crime'];7.6;15909;6.018;7.5
Steamboat Bill, Jr.;The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.;MOVIE;70;1928;['drama', 'romance', 'family', 'action', 'comedy'];7.8;14499;7.754;7.7
The Little Foxes;The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons née Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?;MOVIE;115;1941;['romance', 'drama'];7.9;11775;5.906;7.5
Stella Dallas;After divorcing a society man, a small-town woman tries to build a better life for their daughter.;MOVIE;106;1937;['drama', 'romance'];7.4;5440;5.377;6.9
Dodsworth;A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.;MOVIE;101;1936;['romance', 'drama'];7.8;9063;6.1;7.2
Sands of Iwo Jima;The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him.;MOVIE;100;1950;['drama', 'war', 'action', 'romance'];7;10399;7.629;6.5
The Pride of the Yankees;The story of the life and career of the baseball hall of famer, Lou Gehrig.;MOVIE;128;1942;['drama', 'romance', 'sport'];7.6;10866;6.602;7.4
Things to Come;The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.;MOVIE;89;1936;['scifi', 'drama', 'war'];6.6;7965;11.526;6.5
Cyrano de Bergerac;France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane, she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results.;MOVIE;112;1950;['drama', 'romance'];7.4;4085;5.626;7.1
Scarlet Street;Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.;MOVIE;103;1945;['thriller', 'drama'];7.8;16405;8.003;7.7
Made for Each Other;A couple struggle to find happiness after a whirlwind courtship.;MOVIE;92;1939;['comedy', 'drama', 'romance'];6.3;3582;6.242;6.1
The Thief of Bagdad;A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.;MOVIE;149;1924;['romance', 'family', 'fantasy'];7.7;6134;7.166;7.4
D.O.A.;Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.;MOVIE;83;1950;['crime', 'comedy', 'thriller', 'drama'];7.2;11816;7.932;6.9
Jungle Book;Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.;MOVIE;106;1942;['fantasy', 'family', 'action'];6.7;4195;6.515;6.3
Love Affair;French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind.;MOVIE;88;1939;['romance', 'drama', 'comedy'];7.3;5421;4.028;7.3
The Bishop's Wife;An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.;MOVIE;109;1947;['fantasy', 'comedy', 'drama', 'romance'];7.6;17675;9.031;7.1
Of Human Bondage;Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though "happily ever after" is not to be.;MOVIE;83;1934;['drama', 'romance'];7;7332;5.776;6.6
Our Town;Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.;MOVIE;90;1940;['romance', 'drama', 'family'];6.5;2607;2.847;5.6
The Little Princess;The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.;MOVIE;93;1939;['comedy', 'drama', 'family'];7.1;6122;6.148;6.8
